tab_id,col_id,row_id,label,context,entity
table52,0,15,NIL,"['Incomplete', 'The source code uses symbolic constants, but it does not sufficiently place the definitions of these constants into a more centralized or isolated location.']",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1107
table52,0,16,NIL,"['Base', 'Incomplete']",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1108
table52,0,17,NIL,"['Base', 'Incomplete']",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1109
table52,0,18,NIL,"['Base', 'Incomplete']",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1110
table52,0,19,NIL,"['Base', 'Incomplete']",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1111
table52,0,20,NIL,"['Base', 'Incomplete']",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1112
table52,0,21,NIL,"['Base', 'Incomplete']",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1113
table52,0,22,NIL,"['Base', 'Incomplete']",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1114
table52,0,23,NIL,"['Base', 'Incomplete']",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1115
table52,0,24,NIL,"['Base', 'Incomplete']",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1116
table52,0,25,NIL,"['Incomplete', ""The code contains a function or method whose signature and/or associated inline documentation does not sufficiently describe the callable's inputs, outputs, side effects, assumptions, or return codes.""]",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1117
table52,0,26,NIL,"['Base', 'Incomplete']",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1118
table52,0,27,NIL,"['Base', 'Incomplete']",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1119
table52,0,28,NIL,"['Incomplete', 'The code contains McCabe cyclomatic complexity that exceeds a desirable maximum.']",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1121
table52,0,29,NIL,"['Base', 'Incomplete']",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1122
table52,0,30,NIL,"['Base', 'Incomplete']",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1123
table52,0,31,NIL,"['Base', 'Incomplete']",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1124
table52,0,32,NIL,"['Incomplete', 'The product has an attack surface whose quantitative measurement exceeds a desirable maximum.']",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1125
table52,0,33,NIL,"['Base', 'Incomplete']",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1126
table52,0,34,112,"['::PHASE:Build and Compilation::', '::ORDINALITY:Indirect::']",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1127
table53,0,0,CWE-ID,"['Description', 'Alternate Terms']",http://w3id.org/sepses/resource/cwe/applicablePlatform/CWE-1173
